#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    	Ca   	Fe   	e-   
59        	4         	ok              	2.4000000000e-04	1.0043000000e+03	3.1815683644e+15	1.7308684269e+15	2.3680762001e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
60        	4         	ok              	2.0840000000e-04	9.9990000000e+02	2.7748187987e+15	1.5095844834e+15	2.3680762067e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
61        	4         	ok              	1.8090000000e-04	9.9530000000e+02	2.4197920525e+15	1.3164393025e+15	2.3680762143e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
62        	4         	ok              	1.5710000000e-04	9.9100000000e+02	2.1105517962e+15	1.1482033444e+15	2.3680762203e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
63        	4         	ok              	1.3640000000e-04	9.8600000000e+02	1.8417511148e+15	1.0019677247e+15	2.3680762295e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
64        	4         	ok              	1.1840000000e-04	9.8170000000e+02	1.6057073616e+15	8.7355285679e+14	2.3680762353e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
65        	4         	ok              	1.0280000000e-04	9.7610000000e+02	1.4021429447e+15	7.6280771851e+14	2.3680762466e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
66        	4         	ok              	8.9270000000e-05	9.7090000000e+02	1.2241214964e+15	6.6595872111e+14	2.3680762556e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
67        	4         	ok              	7.7510000000e-05	9.6530000000e+02	1.0690276134e+15	5.8158300573e+14	2.3680762658e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
68        	4         	ok              	6.7300000000e-05	9.5920000000e+02	9.3411294124e+14	5.0818538516e+14	2.3680762770e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
69        	4         	ok              	5.8430000000e-05	9.5360000000e+02	8.1576137863e+14	4.4379859282e+14	2.3680762858e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
70        	4         	ok              	5.0730000000e-05	9.4680000000e+02	7.1334580489e+14	3.8808145510e+14	2.3680762975e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
71        	4         	ok              	4.4050000000e-05	9.4090000000e+02	6.2329830263e+14	3.3909291923e+14	2.3680763058e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
72        	4         	ok              	3.8240000000e-05	9.3410000000e+02	5.4502699507e+14	2.9651098563e+14	2.3680763156e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
73        	4         	ok              	3.3210000000e-05	9.2790000000e+02	4.7649813379e+14	2.5922923475e+14	2.3680763231e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
74        	4         	ok              	2.8830000000e-05	9.2180000000e+02	4.1639110454e+14	2.2652921267e+14	2.3680763298e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
75        	4         	ok              	2.5030000000e-05	9.1570000000e+02	3.6391599217e+14	1.9798118181e+14	2.3680763358e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
76        	4         	ok              	2.1730000000e-05	9.1030000000e+02	3.1781082809e+14	1.7289859356e+14	2.3680763403e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
77        	4         	ok              	1.8870000000e-05	9.0420000000e+02	2.7784392454e+14	1.5115540262e+14	2.3680763454e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
78        	4         	ok              	1.6390000000e-05	8.9880000000e+02	2.4277803823e+14	1.3207851177e+14	2.3680763492e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
79        	4         	ok              	1.4230000000e-05	8.9360000000e+02	2.1200946423e+14	1.1533948739e+14	2.3680763524e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
80        	4         	ok              	1.2350000000e-05	8.8880000000e+02	1.8499347935e+14	1.0064198376e+14	2.3680763548e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
81        	4         	ok              	1.0720000000e-05	8.8450000000e+02	1.6135798335e+14	8.7783567212e+13	2.3680763566e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
82        	4         	ok              	9.3120000000e-06	8.8040000000e+02	1.4081743944e+14	7.6608897153e+13	2.3680763581e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
83        	4         	ok              	8.0850000000e-06	8.7690000000e+02	1.2275055486e+14	6.6779971767e+13	2.3680763589e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
84        	4         	ok              	7.0200000000e-06	8.7360000000e+02	1.0698379431e+14	5.8202382629e+13	2.3680763595e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
85        	4         	ok              	6.0950000000e-06	8.7070000000e+02	9.3196301001e+13	5.0701574056e+13	2.3680763596e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
86        	4         	ok              	5.2920000000e-06	8.6830000000e+02	8.1141595731e+13	4.4143453995e+13	2.3680763592e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
87        	4         	ok              	4.5950000000e-06	8.6620000000e+02	7.0625387874e+13	3.8422322527e+13	2.3680763583e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
88        	4         	ok              	3.9900000000e-06	8.6450000000e+02	6.1447102310e+13	3.3429060792e+13	2.3680763570e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
89        	4         	ok              	3.4640000000e-06	8.6310000000e+02	5.3433088268e+13	2.9069197574e+13	2.3680763551e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
90        	4         	ok              	3.0080000000e-06	8.6190000000e+02	4.6463771599e+13	2.5277680961e+13	2.3680763528e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
91        	4         	ok              	2.6110000000e-06	8.6130000000e+02	4.0359514434e+13	2.1956782586e+13	2.3680763493e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
92        	4         	ok              	2.2670000000e-06	8.6070000000e+02	3.5066564875e+13	1.9077259800e+13	2.3680763453e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
93        	4         	ok              	1.9690000000e-06	8.6050000000e+02	3.0464099681e+13	1.6573381156e+13	2.3680763400e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
94        	4         	ok              	1.7090000000e-06	8.6060000000e+02	2.6438342595e+13	1.4383248966e+13	2.3680763331e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
95        	4         	ok              	1.4840000000e-06	8.6090000000e+02	2.2949577602e+13	1.2485256530e+13	2.3680763244e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
96        	4         	ok              	1.2890000000e-06	8.6160000000e+02	1.9917770701e+13	1.0835862962e+13	2.3680763127e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
97        	4         	ok              	1.1190000000e-06	8.6240000000e+02	1.7274871967e+13	9.3980470651e+12	2.3680762981e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
98        	4         	ok              	9.7140000000e-07	8.6370000000e+02	1.4973684370e+13	8.1461322506e+12	2.3680762778e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
99        	4         	ok              	8.4340000000e-07	8.6490000000e+02	1.2982585454e+13	7.0629149484e+12	2.3680762529e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
100       	4         	ok              	7.3230000000e-07	8.6680000000e+02	1.1247697175e+13	6.1190839069e+12	2.3680762168e+00	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
